
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 03-Jun-2026 at 09:40:21.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    2.3375   1.1193666E+06   1.0678241E+06   1.1193666E+06   9.2170334E+05   8.7173842E+05   9.2170334E+05
    2.3500   1.1193401E+06   1.0679859E+06   1.1193401E+06   9.2170748E+05   8.7183854E+05   9.2170748E+05
    2.3625   1.1193148E+06   1.0681447E+06   1.1193148E+06   9.2171462E+05   8.7193006E+05   9.2171462E+05
    2.3750   1.1192911E+06   1.0682999E+06   1.1192911E+06   9.2172466E+05   8.7201350E+05   9.2172466E+05
    2.3875   1.1192690E+06   1.0684504E+06   1.1192690E+06   9.2173744E+05   8.7208936E+05   9.2173744E+05
    2.4000   1.1192490E+06   1.0685956E+06   1.1192490E+06   9.2175284E+05   8.7215820E+05   9.2175284E+05
    2.4125   1.1192311E+06   1.0687346E+06   1.1192311E+06   9.2177072E+05   8.7222055E+05   9.2177072E+05
    2.4250   1.1192157E+06   1.0688667E+06   1.1192157E+06   9.2179092E+05   8.7227694E+05   9.2179092E+05
    2.4375   1.1192030E+06   1.0689911E+06   1.1192030E+06   9.2181331E+05   8.7232787E+05   9.2181331E+05
    2.4500   1.1191931E+06   1.0691070E+06   1.1191931E+06   9.2183776E+05   8.7237382E+05   9.2183776E+05
    2.4625   1.1191863E+06   1.0692138E+06   1.1191863E+06   9.2186414E+05   8.7241524E+05   9.2186414E+05
    2.4750   1.1191827E+06   1.0693110E+06   1.1191827E+06   9.2189234E+05   8.7245253E+05   9.2189234E+05
    2.4875   1.1191826E+06   1.0693978E+06   1.1191826E+06   9.2192225E+05   8.7248604E+05   9.2192225E+05
    2.5000   1.1191861E+06   1.0694740E+06   1.1191861E+06   9.2195378E+05   8.7251607E+05   9.2195378E+05
    2.5125   1.1191933E+06   1.0695390E+06   1.1191933E+06   9.2198687E+05   8.7254284E+05   9.2198687E+05
    2.5250   1.1192043E+06   1.0695925E+06   1.1192043E+06   9.2202144E+05   8.7256655E+05   9.2202144E+05
    2.5375   1.1192192E+06   1.0696342E+06   1.1192192E+06   9.2205745E+05   8.7258729E+05   9.2205745E+05
